,Abandono_curso,Escolaridade,Concluiu_EAD,Renda_Familiar,Internet wifi,Computador,Estados_codificados,Conheceu_PROA_codificado
0,1.0,0.0,0.75,0.4000000000000001,1.0,1.0,0.0,0.6811594202898551
1,0.0,0.0,0.25,0.2,0.0,1.0,0.9791813470321564,0.6086956521739131
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6859903381642513
3,0.0,0.25,0.5,0.2,1.0,1.0,0.0,0.774500475737393
4,0.0,0.25,0.5,0.2,1.0,1.0,0.9791813470321564,0.8333333333333334
5,0.0,0.0,0.5,0.2,0.0,1.0,0.0,0.7051282051282052
6,0.0,0.0,1.0,0.4000000000000001,1.0,1.0,0.0,0.6086956521739131
7,0.0,0.0,0.75,0.2,1.0,1.0,0.0,0.774500475737393
8,0.0,0.25,0.75,0.2,1.0,1.0,0.0,0.7440476190476191
9,1.0,0.0,0.75,0.2,1.0,0.0,0.0,0.774500475737393
10,1.0,0.0,0.75,0.2,1.0,0.0,0.0,0.6859903381642513
11,0.0,0.5,0.75,0.0,1.0,0.0,0.0,0.7440476190476191
12,0.0,0.0,1.0,0.0,1.0,1.0,0.9791813470321564,0.774500475737393
13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6859903381642513
14,0.0,0.0,1.0,0.4000000000000001,1.0,1.0,0.0,0.8333333333333334
15,0.0,0.0,0.0,0.2,1.0,1.0,0.9791813470321564,0.774500475737393
16,0.0,0.25,0.5,0.0,1.0,0.0,0.9791813470321564,0.774500475737393
17,1.0,0.0,0.5,0.2,1.0,1.0,0.0,0.6859903381642513
18,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.6086956521739131
19,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.6811594202898551
20,1.0,0.0,0.75,0.0,1.0,0.0,0.0,0.6859903381642513
21,0.0,0.0,0.5,0.2,1.0,1.0,0.0,0.805921052631579
22,1.0,0.0,0.0,0.0,1.0,0.0,0.9791813470321564,0.7440476190476191
23,1.0,0.0,0.75,1.0000000000000002,1.0,1.0,0.9791813470321564,0.774500475737393
24,1.0,0.0,0.0,0.4000000000000001,1.0,1.0,0.0,0.8333333333333334
25,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.774500475737393
26,0.0,0.5,0.5,0.0,1.0,1.0,0.9791813470321564,0.6
27,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.805921052631579
28,0.0,0.0,1.0,0.2,1.0,1.0,0.0,0.805921052631579
29,1.0,0.0,0.75,0.2,0.0,0.0,1.0,0.774500475737393
30,1.0,0.0,0.25,0.4000000000000001,1.0,1.0,0.9791813470321564,0.6086956521739131
31,1.0,0.0,0.0,0.2,1.0,1.0,0.9791813470321564,0.774500475737393
32,1.0,0.0,0.0,0.0,1.0,0.0,0.9791813470321564,0.8333333333333334
33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6086956521739131
34,0.0,0.0,0.25,0.4000000000000001,1.0,0.0,0.0,0.6086956521739131
35,0.0,0.0,0.5,0.2,0.0,1.0,0.0,0.6086956521739131
36,1.0,0.0,0.75,0.2,1.0,1.0,0.9791813470321564,0.6859903381642513
37,1.0,0.0,0.0,0.6000000000000001,1.0,1.0,0.0,0.805921052631579
38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6363636363636364
39,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.774500475737393
40,1.0,0.0,0.75,0.2,0.0,0.0,0.9791813470321564,0.6
41,1.0,0.0,0.75,0.6000000000000001,1.0,1.0,0.9791813470321564,0.8333333333333334
42,0.0,0.25,0.25,0.0,0.0,0.0,0.9791813470321564,0.6859903381642513
43,0.0,0.0,0.0,0.0,1.0,1.0,0.9791813470321564,0.774500475737393
44,1.0,0.0,0.25,0.0,1.0,0.0,0.9791813470321564,0.6086956521739131
45,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.6086956521739131
46,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6
47,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.6363636363636364
48,0.0,0.0,0.5,0.4000000000000001,1.0,1.0,0.0,0.6363636363636364
49,1.0,0.0,1.0,0.2,1.0,1.0,0.0,0.6859903381642513
50,1.0,0.0,1.0,0.2,1.0,1.0,0.9791813470321564,0.6811594202898551
51,1.0,0.0,0.25,0.0,1.0,1.0,0.0,0.7440476190476191
52,1.0,0.0,0.0,0.2,1.0,0.0,0.0,0.6859903381642513
53,0.0,0.0,0.75,0.4000000000000001,1.0,0.0,0.9791813470321564,0.6859903381642513
54,1.0,0.0,0.0,0.0,1.0,1.0,0.9791813470321564,0.8333333333333334
55,1.0,0.0,0.75,0.2,1.0,0.0,0.9791813470321564,0.8333333333333334
56,1.0,0.0,0.5,0.2,1.0,1.0,0.9791813470321564,0.7447368421052631
57,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.7440476190476191
58,0.0,0.0,0.25,0.2,1.0,1.0,0.0,0.6
59,1.0,0.0,0.0,0.2,1.0,1.0,0.0,0.6859903381642513
60,0.0,0.25,0.0,0.2,1.0,1.0,0.0,0.6
61,1.0,0.0,0.5,0.2,0.0,1.0,0.0,0.7440476190476191
62,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.774500475737393
63,1.0,0.0,0.0,0.4000000000000001,1.0,0.0,0.9791813470321564,0.8333333333333334
64,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.7440476190476191
65,1.0,0.0,0.5,0.2,0.0,1.0,0.0,0.774500475737393
66,1.0,0.0,0.25,0.0,1.0,1.0,0.9791813470321564,0.5462962962962963
67,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.774500475737393
68,0.0,0.5,0.75,0.0,1.0,1.0,0.0,0.6859903381642513
69,0.0,0.0,0.5,0.2,1.0,1.0,0.0,0.774500475737393
70,0.0,0.0,0.5,0.4000000000000001,1.0,1.0,0.0,0.5462962962962963
71,1.0,0.0,1.0,0.0,1.0,1.0,0.9791813470321564,0.6
72,1.0,0.0,0.0,0.2,1.0,0.0,0.9791813470321564,0.6859903381642513
73,1.0,0.0,0.0,0.4000000000000001,1.0,0.0,0.9791813470321564,0.6666666666666666
